zoneName,zoneNumber,mobNumber,mobName,mobKeywords,mobShortDesc,mobLongDesc,actionFlags,affectedByFlags,mobAlignment,mobLetter,mobLevel,mobHitroll,mobArmor,mobHPDieNumber,mobHPDieSize,mobHPBaseNumber,mobHPMinValue,mobHPMaxValue,mobHPAverage,mobHPAffective,mobDamDieNumber,mobDamDieSize,mobDamBaseNumber,mobDamMinValue,mobDamMaxValue,mobDamAverage,mobDamAffective,mobHitCount,mobEXP,mobCoins,mobCoinEXP,mobTotalExp,mobExpPerEffectiveHP,mobPosition,mobDefaultPosition,mobSex,mobClass,mobImmune,NoSpecialAttackLines,attackType,attackTarget,attackPercent,attackSpell,mobHitType,mobAct2Flags,mobAffectedBy2Flags,mobImmune2Flags
"Ancient Sphinx, by Thyas",8,800," Ancient Mummy"," Mummy"," Here stands an Ancient Mummy , his only purpose is to protect the SPHINX! "," Here stands a mummy about 1000 years old. His wraps are tattered and torn from centuries of protecting the Sphinx from the likes of you! ",SENTINEL ISNPC AGGRESSIVE MEMORY ARM,SPHERE,0,Y,40,-11,0,100,2,700,800,900,850,850,6,3,10,16,28,22,22,1,90000,20000,6666,96666,113,Standing,Standing,male,Lesser Undead,,0,,,,,0,,,
"Ancient Sphinx, by Thyas",8,801," a 200 year old snake"," Snake"," Crawling about the ground is a Two hundred year old snake "," On the ground in front of you crawls a 200 year old snake. The snake appears to be unaffected by time. Although he has no arms or legs his attack can be lethal! ",SCAVENGER ISNPC AGGRESSIVE MEMORY,DODGE,-100,Y,20,0,0,100,1,300,400,400,400,400,5,2,8,13,18,15.5,15.5,1,10000,0,0,10000,25,Standing,Standing,male,Reptile,,0,,,,,0,,,
"Ancient Sphinx, by Thyas",8,802," Vampire bat"," bat"," A vampire bat hangs from the ceiling. "," Hanging from the ceiling is a vampire bat. His only source of food being unwary passer by's. So you best be careful! ",ISNPC AGGRESSIVE STAY-ZONE,,0,Y,23,13,0,100,2,300,400,500,450,450,4,3,5,9,17,13,13,1,16000,0,0,16000,35,Standing,Standing,male,Lesser Vampire,,0,,,,,0,,,
"Ancient Sphinx, by Thyas",8,803," An ancient Priest"," priest"," An ancient egyptian priest is praying here. "," Standing in front of you blocking your way is an ancient priest not less than 1000 years old. From the looks of it you have intruded on something. ",SENTINEL ISNPC,DETECT-INVISIBLE SPHERE,1000,Y,45,-14,0,300,2,1000,1300,1600,1450,1450,10,2,12,22,32,27,27,1,250000,10000,3333,253333,174,Standing,Standing,male,Lesser Undead,,0,,,,,0,,,
"Ancient Sphinx, by Thyas",8,804," Tutankhamen"," Tut"," Here stands the mummy of Tutankhamen. "," Here stands the mummy of the great pharaoh Tutankhamen. He is thousands of years old and really shows his age. He looks like an easy kill, but then things aren't always what they seem! ",SENTINEL ISNPC,SANCTUARY SPHERE DODGE,-1000,Y,51,-14,0,100,3,3800,3900,4100,4000,8000,4,3,22,26,34,30,30,1,200000,100000,33333,233333,29,Standing,Standing,male,Greater Undead,,0,,,,,0,,,
"Ancient Sphinx, by Thyas",8,805," First Ancient Mummy"," Mummy"," Here stands the first mummy of the Sphinx. "," This is the first mummy you have found in the Sphinx. His wraps are tattered and torn , and he appears to have been here for centuries! ",SENTINEL ISNPC AGGRESSIVE,SPHERE,-100,Y,50,-11,0,100,3,800,900,1100,1000,1000,5,5,10,15,35,25,25,1,100000,20000,6666,106666,106,Standing,Standing,male,Lesser Undead,,0,,,,,0,,,
"Ancient Sphinx, by Thyas",8,806," Second Ancient Mummy"," mummy"," Here stands the second mummy of the Sphinx "," Here stands the second ancient mummy. He is much like the first one you encountered. His wraps are tattered and torn from centuries of aging. ",SENTINEL ISNPC AGGRESSIVE,SPHERE,-1000,Y,35,-12,0,100,4,800,900,1200,1050,1050,5,6,11,16,41,28.5,28.5,1,200000,24400,8133,208133,198,Standing,Standing,male,Lesser Undead,,0,,,,,0,,,
"Ancient Sphinx, by Thyas",8,807," Third Ancient Mummy"," mummy"," Here stands the third mummy of the Sphinx "," You are looking at the third mummy of this ancient Sphinx. He looks much like the other mummies you have seen. He looks old and worn, but thousands of years has that affect. ",SENTINEL ISNPC AGGRESSIVE,SPHERE,-1000,Y,35,-12,0,100,4,800,900,1200,1050,1050,5,6,20,25,50,37.5,37.5,1,250000,30000,10000,260000,247,Standing,Standing,male,Lesser Undead,,0,,,,,0,,,
"Below the Sewers, by Infinity",47,4700," an electric eel"," Electric Eel"," An electric eel swims here, ready to take a bite out of your hide! "," This eel is nearly six feet long!  It is covered with dark gray scales and the sewage seems to have stained them in certain places.  It looks like it is a very mean fellow, but takes little notice of you.  The teeth on it do look very dangerous and small arcs of electricity can be seen every so often. ",ISNPC STAY-ZONE MEMORY,SENSE-LIFE SPHERE,0,Y,45,-15,2,100,5,1600,1700,2100,1900,1900,5,7,35,40,70,55,55,1,360000,1000,333,360333,189,Swimming,Swimming,neutral,Fish,ELECTRIC,2," BITE SPELL CAST"," BUFFER BUFFER"," 5 5","  shocking_grasp",0,,,
"Below the Sewers, by Infinity",47,4701," A mound of garbage"," Mound Garbage"," A mound of garbage rises and attacks! "," This mound of garbage looks utterly disgusting and smells worse than anything you have ever smelled before.  It has bits of trash and garbage composing its skin and the remains of old weapons and armor can be seen, sharp as ever. ",ISNPC AGGRESSIVE,SENSE-LIFE SANCTUARY DUAL,0,Y,40,-15,-5,10,10,1250,1260,1350,1305,2610,2,40,40,42,120,81,105.3,1.3,375000,75000,25000,400000,153,Swimming,Swimming,neutral,Automaton,PUMMEL BLUDGEON CRUSH,1," SPELL CAST"," SELF"," 10"," fortification",0,,,
