itemNumber,keywords,shortDesc,longDesc,itemType,wearFlags,extraFlags,objAffFlags,Affect0,AffectModifier0,Affect1,AffectModifier1,Affect2,AffectModifier2,value0,value1,value2,value3,lightColor,lightType,lightHours,recipeCreates,recipeRequires1,recipeRequires2,recipeRequires3,aqOrderRequires1,aqOrderRequires2,aqOrderRequires3,aqOrderRequires4,maxContains,currentContains,liquidType,foodSatiation,poisoned,lockType,assignedKey,keyType,picksCurrent,picksMax,affAC,spell,spellLevel,chargesMax,chargesCurrent,weaponSpecial,weaponType,diceNumber,diceSize,damageMin,damageMax,damageAve,gunLicense,bulletsLeft,gunNumber,weight,cost,rent,treasureCoins,subclassPointValue,loadrate,boardReadLvl,boardWriteLvl,boardRemoveLvl,objTimer
29399," greaves reinforced cobalt soot"," Reinforced Cobalt Greaves"," A sturdy pair of cobalt greaves have been unceremoniously abandoned here.",ARMOR,TAKE LEGS,GLOW MAGICAL LIMITED,8,DAMROLL,3,HITROLL,3,MANA_REGEN,9,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,10,1000000,25000,,,10,,,,
29398," woven spider silk cloak soot"," A Woven Spider Silk Cloak"," A durable silk cloak lies crumpled in the corner.",ARMOR,TAKE NECK ABOUT,MAGICAL,8429696,SAVING_SPELL,-6,HITROLL,6,MANA_REGEN,30,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,2,666666,66666,,,10,,,,
29389," multi dimentional pocket boor"," A Multidimensional Pocket"," A black hole phases in and out of existence on the ground here.",CONTAINER,TAKE WAIST,,,ARMOR,-5,,,,,8000,0,0,0,,,,,,,,,,,,8000,,,,,0,0,,,,,,,,,,,,,,,,,,,5,900,100,,,100,,,,
29388," multi dimentional pocket tool"," A Multidimensional Pocket"," A black hole phases in and out of existence on the ground here.",CONTAINER,TAKE WAIST,,,ARMOR,-5,,,,,8000,0,0,0,,,,,,,,,,,,8000,,,,,0,0,,,,,,,,,,,,,,,,,,,5,900,100,,,100,,,,
29387," multi dimentional pocket poof"," A Multidimensional Pocket"," A black hole phases in and out of existence on the ground here.",CONTAINER,TAKE WAIST,,,ARMOR,-5,,,,,8000,0,0,0,,,,,,,,,,,,8000,,,,,0,0,,,,,,,,,,,,,,,,,,,5,900,100,,,100,,,,
29386," multi dimentional pocket loon"," A Multidimensional Pocket"," A black hole phases in and out of existence on the ground here.",CONTAINER,TAKE WAIST,,,ARMOR,-5,,,,,8000,0,0,0,,,,,,,,,,,,8000,,,,,0,0,,,,,,,,,,,,,,,,,,,5,900,100,,,100,,,,
29385," multi dimensional pocket soot"," A Multidimensional Pocket"," A black hole phases in and out of existence on the ground here.",CONTAINER,TAKE WAIST,,,ARMOR,-5,,,,,8000,0,0,0,,,,,,,,,,,,8000,,,,,0,0,,,,,,,,,,,,,,,,,,,5,900,100,,,100,,,,
29384," dessicated phalanx bone anu boor"," Dessicated Phalanx of Anu"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29383," dessicated phalanx bone anu tool"," Dessicated Phalanx of Anu"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29382," dessicated phalanx bone anu poof"," Dessicated Phalanx of Anu"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
