ZoneNumber,ZoneName,FileName,zonCreationDate,zonUpdateDate,zonAuthor,respawnTimer,resetMode,lastRoomNum,spawnMobileID,spawnMobileCount,spawnMobileRoomID,spawnMobileType,spawnItemID,spawnItemLocationID,spawnItemType,spawnItemMobID,spawnDoorID,spawnDoorState,multHp,multMana,multHitroll,multDamage,multArmor,multXp,multGold,multLevel
293,00Gear,../ronin/lib/world/00Gear.zon,18Feb2020,11Dec2020,Unknown,10,Never reset,29399,,,,,,,,,,,100,100,100,100,100,100,100,100
293,00Gear,../ronin/lib/world/00Gear.zon,18Feb2020,11Dec2020,Unknown,10,Never reset,29399,,,,,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,813,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,834,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,833,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,825,Closed Locked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,824,Closed Locked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,821,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,820,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,819,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,817,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,811,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,808,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,807,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,807,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,,,,,806,Closed Unlocked,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,802,,ObjectToMob,803,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,,,,,800,,ObjectToMobEQ,803,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,803,1,822,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,801,13,830,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,828,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,801,13,825,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,821,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,821,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,801,13,818,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,817,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,807,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,815,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,801,13,811,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,801,13,811,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,801,13,807,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,801,13,807,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,806,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,802,13,806,normal,,,,,,,100,100,100,100,100,100,100,100
8,"Ancient Sphinx, by Thyas",../ronin/lib/world/AncientSphinxbyThyas.zon,Unknown,13Mar2020,Unknown,35,Reset on timer,899,806,1,813,normal,,,,,,,100,100,100,100,100,100,100,100
